domain,tld,length,vowel_ratio,has_number,tld_score,keyword_score,brand_score,price,tier
tu.ai,.ai,2,0.5,0,0.95,0.8449,0.7998,36667500,high
app.co,.co,3,0.3333,0,0.8,0.4551,0.6772,1016000,medium
virajnope.com,.com,9,0.4444,0,1.0,0.318,0.4391,153000,low
fofo.com,.com,4,0.5,0,1.0,0.8282,0.902,19805000,high
vinorabha.net,.net,9,0.4444,0,0.65,0.1128,0.47,147000,low
leenergy.online,.online,8,0.375,0,0.25,0.2237,0.437,79500,low
zaplace.net,.net,7,0.4286,0,0.65,0.04,0.477,100500,low
tu.io,.io,2,0.5,0,0.85,0.7889,0.8557,28032500,high
gobuop.in,.in,6,0.5,0,0.9,0.8662,0.8455,8301500,high
buinvest.ai,.ai,8,0.375,0,0.95,1.0,0.8871,49376000,high
tecenter.site,.site,8,0.375,0,0.2,0.0532,0.4234,95500,low
jisoft.dev,.dev,6,0.3333,0,0.7,0.5371,0.6789,580000,medium
moteca.tech,.tech,6,0.5,0,0.55,0.4071,0.6899,771000,medium
ezunvinji.net,.net,9,0.4444,0,0.65,0.1096,0.557,116000,low
jily.co,.co,4,0.25,0,0.8,0.9775,0.8799,58322000,high
myvica.dev,.dev,6,0.3333,0,0.7,0.4196,0.7029,999000,medium
le.com,.com,2,0.5,0,1.0,0.7473,0.9618,86898500,high
axaxhq.app,.app,6,0.3333,0,0.75,0.6214,0.6624,624000,medium
new79.io,.io,5,0.2,1,0.85,0.7031,0.6649,294000,medium
nextza.io,.io,6,0.3333,0,0.85,0.72,0.7516,916500,medium
servicebha.info,.info,10,0.4,0,0.18,0.3332,0.5012,104500,low
daio.in,.in,4,0.75,0,0.9,0.9493,0.6492,6218000,high
mole.co,.co,4,0.5,0,0.8,0.4094,0.7268,941500,medium
leinfoplacetu.biz,.biz,13,0.4615,0,0.15,0.0722,0.4815,37000,low
mo.ai,.ai,2,0.5,0,0.95,0.9539,0.8154,34507000,high
home27.tech,.tech,6,0.3333,1,0.55,0.584,0.6219,353000,medium
carefo.co,.co,6,0.5,0,0.8,0.5257,0.6651,488000,medium
tesoft.co,.co,6,0.3333,0,0.8,0.4845,0.6051,972500,medium
global5.tech,.tech,7,0.2857,1,0.55,0.72,0.5916,406000,medium
nobhaco.io,.io,7,0.4286,0,0.85,0.6022,0.5908,833500,medium
qovinnalepuunun.in,.in,15,0.4667,0,0.9,0.3407,0.4204,80500,low
kriezlab.in,.in,8,0.375,0,0.9,0.4885,0.7335,576500,medium
vividya.co,.co,7,0.4286,0,0.8,0.555,0.7135,1119500,medium
axnews.online,.online,6,0.3333,0,0.25,0.0012,0.5354,97500,low
goshalu.app,.app,7,0.4286,0,0.75,0.9822,0.7518,31194500,high
omx.ai,.ai,3,0.3333,0,0.95,0.7845,0.9104,102491500,high
devaxunmeop.org,.org,11,0.4545,0,0.58,0.3748,0.4845,107500,low
krivydevvinvi.org,.org,13,0.3077,0,0.58,0.3338,0.4172,112000,low
wyonlinelepubhau.biz,.biz,16,0.4375,0,0.15,0.0516,0.347,51500,low
lutuwy.in,.in,6,0.3333,0,0.9,0.3942,0.6776,1091500,medium
jivinzone.biz,.biz,9,0.4444,0,0.15,0.3127,0.4794,148500,low
axlusha.net,.net,7,0.4286,0,0.65,0.6182,0.6671,861500,medium
india.in,.in,5,0.6,0,0.9,1.0,0.7781,95344500,high
goaxri.com,.com,6,0.5,0,1.0,0.9399,0.8953,34505500,high
city23.io,.io,6,0.1667,1,0.85,0.7118,0.6391,216500,medium
creditme.ai,.ai,8,0.375,0,0.95,1.0,0.7452,17804000,high
host.net,.net,4,0.25,0,0.65,0.0175,0.5064,103500,low
zaforilemojifo.xyz,.xyz,14,0.5,0,0.3,0.2991,0.3944,29500,low
mehuki.app,.app,6,0.5,0,0.75,0.8094,0.7638,13782000,high
digitalpe.ai,.ai,9,0.4444,0,0.95,0.8737,0.7989,31379500,high
goez.com,.com,4,0.5,0,1.0,0.8728,0.8736,27998500,high
prasoft.co.in,.co.in,7,0.2857,0,0.6,0.72,0.5567,686000,medium
prakomoxe.co.in,.co.in,9,0.4444,0,0.6,0.2696,0.4494,136500,low
si.in,.in,2,0.5,0,0.9,0.8901,0.8597,41889000,high
da.ai,.ai,2,0.5,0,0.95,0.9164,0.8048,32244000,high
sanservice.com,.com,10,0.4,0,1.0,0.2742,0.4371,108000,low
risibase.co,.co,8,0.5,0,0.8,0.4527,0.6411,812500,medium
vidya79.co.in,.co.in,7,0.2857,1,0.6,0.5099,0.5859,557000,medium
turajinfoteplace.info,.info,16,0.4375,0,0.18,0.3013,0.3004,37500,low
peomonline.in,.in,10,0.5,0,0.9,0.342,0.4943,78500,low
sancahq.co,.co,7,0.2857,0,0.8,0.4552,0.6638,686000,medium
info.online,.online,4,0.5,0,0.25,0.0593,0.4828,106000,low
lab.com,.com,3,0.3333,0,1.0,0.72,0.7092,1169000,medium
shasiio.app,.app,7,0.5714,0,0.75,0.8883,0.735,7523000,high
shaezpravytufome.org,.org,16,0.375,0,0.58,0.0752,0.4207,95500,low
rapuworld.com,.com,9,0.3333,0,1.0,0.108,0.5481,69500,low
shakti.co.in,.co.in,6,0.3333,0,0.6,0.5832,0.6716,830500,medium
bestbu.xyz,.xyz,6,0.3333,0,0.3,0.2573,0.4936,74500,low
center.co.in,.co.in,6,0.3333,0,0.6,0.174,0.4294,126000,low
news.com,.com,4,0.25,0,1.0,0.2255,0.5917,172500,low
tuhub.tech,.tech,5,0.4,0,0.55,0.4184,0.7688,948500,medium
cloudhu.com,.com,7,0.4286,0,1.0,0.6718,0.6516,586500,medium
sensexte.app,.app,8,0.375,0,0.75,1.0,0.8259,61343500,high
energybha.com,.com,9,0.3333,0,1.0,0.0804,0.5048,132500,low
vyvinhub.app,.app,8,0.25,0,0.75,0.4466,0.5797,365000,medium
wyaxturite.dev,.dev,10,0.4,0,0.7,0.6459,0.6119,500000,medium
flow.in,.in,4,0.25,0,0.9,0.5022,0.6166,1294500,medium
media29.tech,.tech,7,0.4286,1,0.55,0.5005,0.6552,513500,medium
kiop.ai,.ai,4,0.5,0,0.95,0.9449,0.9197,60547000,high
za.in,.in,2,0.5,0,0.9,0.8957,0.8713,16340000,high
digi.net,.net,4,0.5,0,0.65,0.4844,0.6709,394500,medium
novaax.co,.co,6,0.5,0,0.8,0.72,0.7318,847000,medium
zaworld.in,.in,7,0.2857,0,0.9,0.2464,0.4002,133500,low
sanvinki.dev,.dev,8,0.375,0,0.7,0.4974,0.6889,273000,medium
liveno.in,.in,6,0.5,0,0.9,0.8711,0.7363,30416500,high
hulove.online,.online,6,0.5,0,0.25,0.0354,0.4544,59500,low
travel.in,.in,6,0.3333,0,0.9,0.3198,0.4907,170500,low
tehumo.co.in,.co.in,6,0.5,0,0.6,0.4156,0.6755,1135500,medium
hubase.app,.app,6,0.5,0,0.75,0.7154,0.592,535000,medium
da.com,.com,2,0.5,0,1.0,0.9736,0.8661,67109000,high
teluraomshatunew.biz,.biz,16,0.4375,0,0.15,0.001,0.3808,25000,low
naworld.com,.com,7,0.2857,0,1.0,0.3502,0.4415,176000,low
rasewa.org,.org,6,0.5,0,0.58,0.3514,0.4309,141000,low
sandesh.org,.org,7,0.2857,0,0.58,0.094,0.5288,62500,low
spark.io,.io,5,0.2,0,0.85,0.6365,0.581,736000,medium
portalbestsi.info,.info,12,0.3333,0,0.18,0.1267,0.4273,101000,low
solutionsdevworl.info,.info,16,0.375,0,0.18,0.2962,0.2899,77000,low
vinx.co,.co,4,0.25,0,0.8,0.9469,0.7573,64409000,high
qovinxe.ai,.ai,7,0.4286,0,0.95,0.9066,0.8924,19124000,high
green.co.in,.co.in,5,0.4,0,0.6,0.72,0.6576,389000,medium
jiweb.co,.co,5,0.4,0,0.8,1.0,0.9371,44489500,high
getbu.co,.co,5,0.4,0,0.8,1.0,0.911,78309500,high
jigroup.biz,.biz,7,0.4286,0,0.15,0.1618,0.6008,72500,low
getomda.com,.com,7,0.4286,0,1.0,1.0,0.8949,3452000,high
rajrajinfo.net,.net,10,0.4,0,0.65,0.1592,0.5194,144000,low
news.org,.org,4,0.25,0,0.58,0.1981,0.5513,79500,low
basevin.net,.net,7,0.4286,0,0.65,0.72,0.6986,222500,medium
prosha.io,.io,6,0.3333,0,0.85,1.0,0.8247,4928500,high
omunhu.io,.io,6,0.5,0,0.85,0.3826,0.7118,420000,medium
nifty.io,.io,5,0.2,0,0.85,1.0,0.7808,19258500,high
energy.site,.site,6,0.3333,0,0.2,0.2058,0.4802,37500,low
sisanopkitusiki.in,.in,15,0.4667,0,0.9,0.0873,0.2635,49500,low
vinbase.com,.com,7,0.4286,0,1.0,0.4774,0.6978,1291000,medium
tedaco.co.in,.co.in,6,0.5,0,0.6,0.4326,0.7163,716500,medium
kocaoppra.in,.in,9,0.4444,0,0.9,0.056,0.4559,171500,low
jiteinfo.net,.net,8,0.5,0,0.65,0.0209,0.4843,103500,low
kiqofy.app,.app,6,0.3333,0,0.75,0.9499,0.8504,54355500,high
shaezpexeqo.xyz,.xyz,11,0.4545,0,0.3,0.1852,0.3535,87000,low
zatech.co,.co,6,0.3333,0,0.8,0.9601,0.8367,17367000,high
info97.com,.com,6,0.3333,1,1.0,0.2269,0.4591,101000,low
leriplace.org,.org,9,0.4444,0,0.58,0.0212,0.399,124500,low
carekri.co.in,.co.in,7,0.4286,0,0.6,0.6371,0.6617,748000,medium
kibhahub.app,.app,8,0.375,0,0.75,0.3675,0.625,422500,medium
swadesh.in,.in,7,0.2857,0,0.9,0.4505,0.7029,1193500,medium
vyapar.in,.in,6,0.3333,0,0.9,0.72,0.595,565500,medium
rajvy.com,.com,5,0.2,0,1.0,0.7698,0.7328,56300000,high
vivinna.in,.in,7,0.4286,0,0.9,0.3734,0.7048,461500,medium
caopshada.site,.site,9,0.4444,0,0.2,0.1352,0.5516,84000,low
vifosha.co,.co,7,0.4286,0,0.8,0.7922,0.8983,21253000,high
bhaco.co,.co,5,0.4,0,0.8,0.5496,0.7545,1266500,medium
artji.xyz,.xyz,5,0.4,0,0.3,0.3189,0.6193,133000,low
rihostqonarivin.biz,.biz,15,0.4,0,0.15,0.1576,0.3479,68500,low
worldshanaworld.biz,.biz,15,0.2667,0,0.15,0.1728,0.2816,49500,low
sundar.co.in,.co.in,6,0.3333,0,0.6,0.0792,0.4881,175500,low
sinext.com,.com,6,0.3333,0,1.0,0.5545,0.6441,569500,medium
vinpraonline.org,.org,12,0.4167,0,0.58,0.0623,0.4902,75000,low
green64.app,.app,7,0.2857,1,0.75,0.6548,0.6389,518000,medium
world.online,.online,5,0.2,0,0.25,0.2264,0.3853,63000,low
tepume.com,.com,6,0.5,0,1.0,0.9281,0.8268,26359500,high
shahule.com,.com,7,0.4286,0,1.0,0.4949,0.709,1090000,medium
worldkri.in,.in,8,0.25,0,0.9,0.2174,0.3911,83500,low
junk-portal-99.biz,.biz,14,0.2143,1,0.15,0.3495,0.3229,4000,low
praezax.dev,.dev,7,0.4286,0,0.7,0.6117,0.6125,555500,medium
hupuxelurazasan.info,.info,15,0.4667,0,0.18,0.2928,0.2814,52000,low
dakrionline.site,.site,11,0.4545,0,0.2,0.2987,0.4767,92000,low
hotelcabunakibha.biz,.biz,16,0.4375,0,0.15,0.349,0.4239,32000,low
govi.com,.com,4,0.5,0,1.0,1.0,0.9107,34768500,high
global20.io,.io,8,0.25,1,0.85,0.5104,0.532,496500,medium
wyraco.app,.app,6,0.3333,0,0.75,0.5187,0.6218,872500,medium
onlinexe.info,.info,8,0.5,0,0.18,0.3126,0.4072,64000,low
kobharat.in,.in,8,0.375,0,0.9,0.9799,0.8518,36265500,high
tesoft.com,.com,6,0.3333,0,1.0,0.5205,0.7464,355500,medium
rupee.com,.com,5,0.6,0,1.0,0.8924,0.758,50581500,high
rajdevsoft.com,.com,10,0.3,0,1.0,0.5692,0.5754,1008000,medium
meplace.online,.online,7,0.4286,0,0.25,0.0209,0.482,46000,low
teqona.in,.in,6,0.5,0,0.9,0.3559,0.7316,1027000,medium
xeyojna.net,.net,7,0.4286,0,0.65,0.1715,0.4954,82500,low
rojgar.net,.net,6,0.3333,0,0.65,0.0736,0.5231,109500,low
tupra.com,.com,5,0.4,0,1.0,0.9416,0.7951,13682000,high
krishi.co.in,.co.in,6,0.3333,0,0.6,0.6737,0.7131,417500,medium
axlemeomnodevme.xyz,.xyz,15,0.4667,0,0.3,0.2725,0.3729,33500,low
cabuluvin.in,.in,9,0.4444,0,0.9,0.6004,0.6104,1222000,medium
eznaplace.xyz,.xyz,9,0.4444,0,0.3,0.2294,0.5512,85500,low
milandev.net,.net,8,0.375,0,0.65,0.2929,0.4473,104500,low
cadevbha.ai,.ai,8,0.375,0,0.95,0.7505,0.8963,21826000,high
shanext.co,.co,7,0.2857,0,0.8,0.7054,0.7024,767500,medium
leqo.net,.net,4,0.5,0,0.65,0.5575,0.6617,670500,medium
lucity.tech,.tech,6,0.3333,0,0.55,0.72,0.733,859000,medium
new.in,.in,3,0.3333,0,0.9,0.7022,0.7303,613000,medium
wytrade.ai,.ai,7,0.2857,0,0.95,1.0,0.7301,59146500,high
energyhu.net,.net,8,0.375,0,0.65,0.2461,0.4024,106500,low
axrajdasan.io,.io,10,0.4,0,0.85,0.3726,0.6164,694000,medium
travelqo.site,.site,8,0.375,0,0.2,0.2594,0.5257,86500,low
vipeqolu.xyz,.xyz,8,0.5,0,0.3,0.1286,0.4024,69000,low
temp-web-host-01.online,.online,16,0.1875,1,0.25,0.1205,0.2064,6500,low
swasth.net,.net,6,0.1667,0,0.65,0.6491,0.6387,983000,medium
jiriax.co.in,.co.in,6,0.5,0,0.6,0.6851,0.713,370500,medium
tuviqojipefono.org,.org,14,0.5,0,0.58,0.1844,0.3406,54000,low
flowki.in,.in,6,0.3333,0,0.9,0.4827,0.6498,1159500,medium
gram.co.in,.co.in,4,0.25,0,0.6,0.2655,0.4792,144000,low
op.ai,.ai,2,0.5,0,0.95,0.9541,0.8087,57451500,high
unralufosha.com,.com,11,0.4545,0,1.0,0.189,0.4521,91500,low
spark.co,.co,5,0.2,0,0.8,0.4589,0.6961,360000,medium
my-blog-xyz-99.site,.site,14,0.0714,1,0.2,0.2869,0.1869,5000,low
solutionsshanoin.xyz,.xyz,16,0.4375,0,0.3,0.152,0.3298,86500,low
vyzone.site,.site,6,0.3333,0,0.2,0.2861,0.5234,53500,low
qohurada.in,.in,8,0.5,0,0.9,0.5244,0.6397,1143500,medium
qolu.app,.app,4,0.5,0,0.75,0.9799,0.8075,85477000,high
travel.co.in,.co.in,6,0.3333,0,0.6,0.0987,0.4826,100000,low
axnoezrifodevbuc.biz,.biz,16,0.4375,0,0.15,0.3074,0.3437,68500,low
store.app,.app,5,0.4,0,0.75,0.5015,0.69,428000,medium
power.co,.co,5,0.4,0,0.8,0.8945,0.9455,7386000,high
rasibume.dev,.dev,8,0.5,0,0.7,0.3872,0.5844,917000,medium
omunraj.ai,.ai,7,0.4286,0,0.95,0.8112,0.7706,53020000,high
omxeshavin.net,.net,10,0.4,0,0.65,0.2091,0.3913,93500,low
vingramin.tech,.tech,9,0.3333,0,0.55,0.72,0.6148,464500,medium
service.org,.org,7,0.4286,0,0.58,0.3739,0.5094,146500,low
xeravyno.in,.in,8,0.375,0,0.9,0.4654,0.7199,349000,medium
hostsi.co.in,.co.in,6,0.3333,0,0.6,0.2806,0.5995,88500,low
jionline.xyz,.xyz,8,0.5,0,0.3,0.1857,0.4933,99500,low
digital.in,.in,7,0.4286,0,0.9,1.0,0.7412,20277500,high
loveraj.xyz,.xyz,7,0.4286,0,0.3,0.1728,0.5623,107500,low
caworld.in,.in,7,0.2857,0,0.9,0.2767,0.3768,178500,low
bugramin.com,.com,8,0.375,0,1.0,0.643,0.6815,924500,medium
axuninfo.net,.net,8,0.5,0,0.65,0.0598,0.4217,71500,low
world.com,.com,5,0.2,0,1.0,0.3646,0.4179,94500,low
vi.in,.in,2,0.5,0,0.9,0.8047,0.95,31573000,high
carirajqote.online,.online,11,0.4545,0,0.25,0.3371,0.3575,120000,low
base.com,.com,4,0.5,0,1.0,0.72,0.6437,1307500,medium
zatuco.app,.app,6,0.5,0,0.75,0.4551,0.7229,661500,medium
green.tech,.tech,5,0.4,0,0.55,0.6617,0.6713,521000,medium
ezcada.com,.com,6,0.5,0,1.0,0.6964,0.6083,700500,medium
tubucabhawy.in,.in,11,0.3636,0,0.9,0.2937,0.4693,107000,low
luswadesh.io,.io,9,0.3333,0,0.85,0.72,0.6301,657000,medium
mocasanbha.com,.com,10,0.4,0,1.0,0.6632,0.6412,377000,medium
sewatu.biz,.biz,6,0.5,0,0.15,0.3014,0.4951,45000,low
infoop.com,.com,6,0.5,0,1.0,0.2694,0.4897,142000,low
rupee.in,.in,5,0.6,0,0.9,0.5959,0.5501,316500,medium
momerajax.co,.co,9,0.4444,0,0.8,0.3929,0.5544,355500,medium
fovite.com,.com,6,0.5,0,1.0,0.7687,0.8405,56044500,high
ko.ai,.ai,2,0.5,0,0.95,0.7895,0.9277,61453000,high
axhq.com,.com,4,0.25,0,1.0,0.5281,0.7252,1173500,medium
devkofy.ai,.ai,7,0.2857,0,0.95,0.9144,0.7167,16864500,high
qolab.in,.in,5,0.4,0,0.9,0.5678,0.7943,584000,medium
trysi.com,.com,5,0.2,0,1.0,0.7856,0.784,52257500,high
connect.xyz,.xyz,7,0.2857,0,0.3,0.1145,0.3893,88000,low
yojna.co.in,.co.in,5,0.4,0,0.6,0.3353,0.6032,145500,low
kikhoj.net,.net,6,0.3333,0,0.65,0.2534,0.5313,102000,low
buwyop.dev,.dev,6,0.3333,0,0.7,0.5996,0.594,839000,medium
racakrixevy.co,.co,11,0.3636,0,0.8,0.3575,0.6104,1021000,medium
leqoinfonojiinfo.xyz,.xyz,16,0.5,0,0.3,0.0845,0.3677,36000,low
devsamay.xyz,.xyz,8,0.375,0,0.3,0.2368,0.4863,64000,low
vinfx.io,.io,5,0.2,0,0.85,0.8763,0.7938,49251500,high
wydevqomefozatem.info,.info,16,0.375,0,0.18,0.0617,0.4266,30500,low
ipo.co.in,.co.in,3,0.6667,0,0.6,0.7002,0.6506,223000,medium
travelsha.net,.net,9,0.3333,0,0.65,0.2712,0.3979,143000,low
ezaxludadevza.com,.com,13,0.4615,0,1.0,0.2409,0.4144,50500,low
viteco.com,.com,6,0.5,0,1.0,0.4236,0.6182,954500,medium
gowyme.in,.in,6,0.3333,0,0.9,1.0,0.7902,30847500,high
huinfohuteonline.info,.info,16,0.5,0,0.18,0.1489,0.328,32500,low
kikrishi.app,.app,8,0.375,0,0.75,0.72,0.7,252000,medium
rajunopomfopu.info,.info,13,0.4615,0,0.18,0.3674,0.4598,37000,low
nohq.io,.io,4,0.25,0,0.85,0.5315,0.7208,383000,medium
rajpesoft.tech,.tech,9,0.3333,0,0.55,0.72,0.602,363500,medium
shakti70.tech,.tech,8,0.25,1,0.55,0.4693,0.6696,314500,medium
lehub.com,.com,5,0.4,0,1.0,0.5189,0.7915,956000,medium
goza.ai,.ai,4,0.5,0,0.95,0.9781,0.8933,33157000,high
devjio.ai,.ai,6,0.5,0,0.95,0.9177,0.814,25439000,high
space.app,.app,5,0.4,0,0.75,0.72,0.6755,711000,medium
putesoft.co.in,.co.in,8,0.375,0,0.6,0.6312,0.6315,810000,medium
axcax.in,.in,5,0.4,0,0.9,0.8378,0.827,14727000,high
tutu.dev,.dev,4,0.5,0,0.7,0.425,0.6458,1056500,medium
tulive.ai,.ai,6,0.5,0,0.95,0.9891,0.8189,38173000,high
bhawytuaxvyfoom.org,.org,15,0.3333,0,0.58,0.1958,0.3842,89000,low
vidya.com,.com,5,0.4,0,1.0,0.4957,0.6817,980000,medium
lufo.tech,.tech,4,0.5,0,0.55,0.4161,0.7663,445000,medium
jiai.ai,.ai,4,0.75,0,0.95,1.0,0.7409,18118000,high
ra.ai,.ai,2,0.5,0,0.95,0.8295,0.9128,19943500,high
noblog.info,.info,6,0.3333,0,0.18,0.2264,0.5125,126500,low
gyanun.net,.net,6,0.3333,0,0.65,0.2516,0.5073,92500,low
rajtuzone.co.in,.co.in,9,0.4444,0,0.6,0.0436,0.4155,50500,low
si.com,.com,2,0.5,0,1.0,0.7679,0.8516,31949000,high
dost.in,.in,4,0.25,0,0.9,0.6155,0.6145,563000,medium
pedevsanriraj.xyz,.xyz,13,0.3846,0,0.3,0.1364,0.3417,52500,low
omhostluplace.biz,.biz,13,0.3846,0,0.15,0.0922,0.4116,28000,low
siopdevno.io,.io,9,0.4444,0,0.85,0.5953,0.6309,1385000,medium
lab40.co,.co,5,0.2,1,0.8,0.5722,0.5464,727500,medium
onlinevi.in,.in,8,0.5,0,0.9,0.1601,0.4006,165000,low
sparkra.net,.net,7,0.2857,0,0.65,0.6095,0.6177,653500,medium
vintubase.tech,.tech,9,0.4444,0,0.55,0.4826,0.5883,700000,medium
dhan.ai,.ai,4,0.25,0,0.95,0.951,0.8402,73630000,high
syncmo.io,.io,6,0.1667,0,0.85,0.6517,0.5924,1024000,medium
mysha.in,.in,5,0.2,0,0.9,0.6543,0.601,565500,medium
wylab.io,.io,5,0.2,0,0.85,0.521,0.6054,431000,medium
vishasizanoqoca.net,.net,15,0.4667,0,0.65,0.0576,0.3193,43000,low
getxe.ai,.ai,5,0.4,0,0.95,0.9771,0.8537,70243000,high
live.in,.in,4,0.5,0,0.9,0.9822,0.8459,23907500,high
random-name-999.com,.com,15,0.2667,1,1.0,0.1003,0.3158,8500,low
trade.com,.com,5,0.4,0,1.0,1.0,0.9054,49553500,high
visoft.app,.app,6,0.3333,0,0.75,0.5215,0.6433,1168000,medium
unbuna.ai,.ai,6,0.5,0,0.95,0.7021,0.7312,11562000,high
art.biz,.biz,3,0.3333,0,0.15,0.3675,0.6154,107000,low
ranamopucawy.online,.online,12,0.4167,0,0.25,0.3274,0.3838,107000,low
swadeshvy.dev,.dev,9,0.2222,0,0.7,0.72,0.5256,348000,medium
teenergy.net,.net,8,0.375,0,0.65,0.1499,0.4932,134500,low
host27bestraj.info,.info,13,0.2308,1,0.18,0.0399,0.2856,51500,low
hotelpe.com,.com,7,0.4286,0,1.0,0.2612,0.5728,182000,low
ritu.ai,.ai,4,0.5,0,0.95,0.8711,0.8081,52853000,high
raenergy.com,.com,8,0.375,0,1.0,0.1117,0.4371,71500,low
siteworld.co.in,.co.in,9,0.3333,0,0.6,0.281,0.4078,123000,low
info.in,.in,4,0.5,0,0.9,0.3344,0.4551,124500,low
dahome.tech,.tech,6,0.5,0,0.55,0.5235,0.6699,825000,medium
art.xyz,.xyz,3,0.3333,0,0.3,0.2892,0.5692,72500,low
bhadevtutu.net,.net,10,0.4,0,0.65,0.4588,0.5818,841000,medium
luom.com,.com,4,0.5,0,1.0,0.7423,0.9203,63104500,high
vilehub.in,.in,7,0.4286,0,0.9,0.3973,0.6884,339000,medium
wyonline.in,.in,8,0.375,0,0.9,0.1679,0.5293,135500,low
omfobase.co,.co,8,0.5,0,0.8,0.6127,0.6604,814000,medium
vinbuvy.com,.com,7,0.2857,0,1.0,0.7827,0.8647,13380500,high
spark62.co,.co,7,0.1429,1,0.8,0.72,0.4927,792500,medium
tebuviqoki.co,.co,10,0.5,0,0.8,0.4103,0.5969,1194500,medium
ki.ai,.ai,2,0.5,0,0.95,0.8254,0.8072,77049000,high
vinnews.online,.online,7,0.2857,0,0.25,0.3083,0.4145,46000,low
opshaprakriluna.net,.net,15,0.4,0,0.65,0.2697,0.4189,66500,low
nalu.com,.com,4,0.5,0,1.0,0.824,0.8857,82864000,high
space.tech,.tech,5,0.4,0,0.55,0.6479,0.7458,838500,medium
dost.co.in,.co.in,4,0.25,0,0.6,0.513,0.6969,322500,medium
myteki.net,.net,6,0.3333,0,0.65,0.672,0.6487,738000,medium
flow49.com,.com,6,0.1667,1,1.0,0.72,0.5422,316500,medium
krify.app,.app,5,0.2,0,0.75,0.8914,0.6992,34606000,high
artji.in,.in,5,0.4,0,0.9,0.3106,0.6005,113000,low
pujihub.co.in,.co.in,7,0.4286,0,0.6,0.6524,0.6747,370000,medium
za.io,.io,2,0.5,0,0.85,0.7474,0.8656,74688000,high
vinenergy.co.in,.co.in,9,0.3333,0,0.6,0.3749,0.4231,149500,low
sandeshraj.org,.org,10,0.3,0,0.58,0.2027,0.4604,62500,low
rapralu.com,.com,7,0.4286,0,1.0,0.7128,0.7981,53956500,high
daly.in,.in,4,0.25,0,0.9,0.7297,0.8271,58729500,high
devrivi.co,.co,7,0.4286,0,0.8,0.4226,0.6395,904500,medium
